# Daily average weather data retrieved from meteoblue
# https://www.meteoblue.com/en/historyplus
#
date,wave,period,wind
20010113T0700,0.1,3.2,7.481425
20010113T0800,0.2,3.4,9.485529
20010113T0900,0.2,3.6,11.147591
20010113T1000,0.2,3.5,11.480811
20010113T1100,0.2,3.6,12.238855
20010113T1200,0.2,3.7,12.447379
20010113T1300,0.2,3.7,13.414563
20010113T1400,0.3,3.5,13.792963
20010113T1500,0.2,3.2,12.658196
20010113T1600,0.2,2.9,10.515032
20010113T1700,0.2,2.9,8.966881
20010113T1800,0.2,3,8.386128
20010113T1900,0.2,3,8.569991
20010113T2000,0.2,3,9.331408
20010113T2100,0.1,3,9.346933
20010113T2200,0.1,3.2,7.6254034
20010113T2300,0.1,3.2,7.6538744
20010114T0000,0.1,3.2,7.808608
20010114T0100,0.1,3.2,7.6254034
20010114T0200,0.1,3.2,7.61589
20010114T0300,0.1,3.2,7.9966836
20010114T0400,0.1,3.1,7.245109
20010114T0500,0.1,3.1,6.2859936
20010114T0600,0.1,3.1,8.832462
20010114T0700,0.2,3.2,9.708392
20010114T0800,0.2,3.3,10.679232
20010114T0900,0.2,3.4,12.023703
20010114T1000,0.2,3.6,13.368544
20010114T1100,0.3,3.6,14.7136545
20010114T1200,0.3,3.6,15.533428
20010114T1300,0.3,3.6,15.700558
20010114T1400,0.3,3.3,14.829
20010114T1500,0.3,3,12.528659
20010114T1600,0.2,2.8,10.719889
20010114T1700,0.2,2.9,9.404931
20010114T1800,0.2,2.9,9.031334
20010114T1900,0.2,3,9.051382
20010114T2000,0.2,3,9.26513
20010114T2100,0.2,3.1,9.37791
20010114T2200,0.2,3.2,9.37791
20010114T2300,0.2,3.2,9.424182
20010115T0000,0.2,3.2,9.424182
20010115T0100,0.2,3.2,8.455009
20010115T0200,0.2,3.3,7.3936915
20010115T0300,0.2,3.3,6.8648705
20010115T0400,0.2,3.4,6.7530656
20010115T0500,0.2,3.3,6.2628827
20010115T0600,0.2,3.5,8.999165
20010115T0700,0.2,3.6,9.929906
20010115T0800,0.2,3.7,10.723269
20010115T0900,0.2,3.8,11.524932
20010115T1000,0.2,3.9,12.008618
20010115T1100,0.3,4.1,13.14982
20010115T1200,0.3,4.1,14.490218
20010115T1300,0.3,4.2,14.8705
20010115T1400,0.3,3.7,14.281063
20010115T1500,0.3,3.3,12.769398
20010115T1600,0.2,3.1,10.55632
20010115T1700,0.2,3.2,9.26513
20010115T1800,0.2,3.3,7.7010922
20010115T1900,0.2,3.4,6.8964815
20010115T2000,0.2,3.4,6.4735065
20010115T2100,0.2,3.5,6.6883383
20010115T2200,0.2,3.7,6.6502895
20010115T2300,0.2,3.7,6.512587
20010116T0000,0.2,3.8,6.65029
20010116T0100,0.2,3.8,6.6010485
20010116T0200,0.2,3.8,6.7315593
20010116T0300,0.1,3.8,7.047271
20010116T0400,0.1,3.8,6.6010485
20010116T0500,0.2,3.4,6.0208898
20010116T0600,0.2,3.5,8.416333
20010116T0700,0.2,3.6,9.404931
20010116T0800,0.2,3.7,10.559754
20010116T0900,0.2,3.9,11.455523
20010116T1000,0.2,3.8,11.427009
20010116T1100,0.3,3.7,11.957189
20010116T1200,0.3,3.9,13.0363035
20010116T1300,0.3,3.8,13.729741
20010116T1400,0.3,3.5,13.138791
20010116T1500,0.2,3.1,11.23505
20010116T1600,0.2,3,9.519862
20010116T1700,0.2,3.1,8.569991
20010116T1800,0.2,3.1,8.206983
20010116T1900,0.2,3.2,7.0678167
20010116T2000,0.2,3.2,5.4521475
20010116T2100,0.2,3.2,4.601157
20010116T2200,0.1,3.4,4.316604
20010116T2300,0.1,3.4,4.5774603
20010117T0000,0.1,3.4,5.115985
20010117T0100,0.1,3.4,5.115985
20010117T0200,0.1,3.3,4.648189
20010117T0300,0.1,3.3,4.7940803
20010117T0400,0.1,3.3,5.344705
20010117T0500,0.1,3,5.9785943
20010117T0600,0.1,3,4.710168
20010117T0700,0.1,2.9,4.3500667
20010117T0800,0.1,2.9,4.8467226
20010117T0900,0.1,2.9,5.812575
20010117T1000,0.1,2.9,6.7530656
20010117T1100,0.2,2.9,8.077871
20010117T1200,0.2,3,9.712126
20010117T1300,0.2,3,10.344722
20010117T1400,0.2,2.9,10.235512
20010117T1500,0.2,2.8,9.652221
20010117T1600,0.1,2.7,8.791324
20010117T1700,0.1,2.7,7.6015964
20010117T1800,0.1,2.7,6.2164044
20010117T1900,0.1,2.8,4.074679
20010117T2000,0.1,2.8,1.3463118
20010117T2100,0.1,2.8,0.97083926
20010117T2200,0.1,3.1,2.3005786
20010117T2300,0.1,3.1,3.4059293
20010118T0000,0.1,3.1,4.180076
20010118T0100,0.1,3,4.257412
20010118T0200,0.1,3,4.110111
20010118T0300,0.1,2.9,3.7407124
20010118T0400,0.1,2.9,3.807945
20010118T0500,0.1,2.9,4.316604
20010118T0600,0.1,2.5,4.308198
20010118T0700,0.1,2.5,3.541593
20010118T0800,0.1,2.5,1.7029647
20010118T0900,0.1,2.3,2.8111815
20010118T1000,0.1,2.2,4.4570856
20010118T1100,0.1,2.3,5.9115205
20010118T1200,0.1,2.4,7.021504
20010118T1300,0.1,2.4,7.766714
20010118T1400,0.1,2.2,8.005746
20010118T1500,0.1,2.2,8.005746
20010118T1600,0.1,2.2,6.5181518
20010118T1700,0.1,2.2,5.6800957
20010118T1800,0.1,2.3,4.7024655
20010118T1900,0.1,2.3,3.807945
20010118T2000,0.1,2.3,2.745948
20010118T2100,0.1,2.2,2.3162825
20010118T2200,0,2.4,4.0479007
20010118T2300,0,2.4,6.074836
20010119T0000,0,2.4,6.8118587
20010119T0100,0,2.4,7.354363
20010119T0200,0,2,7.766714
20010119T0300,0.1,2,7.544153
